Date	Corn	Gasoline	Cotton
1972	1.5475	0.36	0.355
1973	2.6875	0.39	0.8875
1974	3.4175	0.53	0.3685
1975	2.615	0.57	0.6087
1976	2.565	0.59	0.752
1977	2.2375	0.62	0.5369
1978	2.3175	0.63	0.6757
1979	2.8925	0.86	0.7406
1980	3.78	1.19	0.9512
1981	2.705	1.31	0.6427
1982	2.4475	1.22	0.6592
1983	3.3725	1.16	0.7711
1984	2.6925	1.13	0.6617
1985	2.4825	1.12	0.6206
1986	1.6	0.86	0.5928
1987	1.8475	0.9	0.6676
1988	2.845	0.9	0.5849
1989	2.3975	1	0.6907
1990	2.3175	1.15	0.778
1991	2.515	1.14	0.5917
1992	2.165	1.13	0.5886
1993	3.06	1.11	0.6788
1994	2.31	1.11	0.9035
1995	3.6925	1.15	0.8105
1996	2.5825	1.23	0.7515
1997	2.65	1.23	0.6707
1998	2.135	1.06	0.6036
1999	2.045	1.17	0.5074
2000	2.3175	1.51	0.6228
2001	2.09	1.46	0.3559
2002	2.3575	1.36	0.5116
2003	2.46	1.59	0.7507
2004	2.0475	1.88	0.4477
2005	2.1575	2.3	0.5419
2006	3.9025	2.59	0.5619
2007	4.555	2.8	0.6801
2008	4.07	3.27	0.4902
2009	4.145	2.35	0.756
2010	6.29	2.79	1.4481
2011	6.465	3.53	0.918
2012	6.9825	3.64	0.7514
2013	4.22	3.53	0.8464
2014	3.97	3.37	0.6027
2015	3.5875	2.45	0.6328
2016	3.52	2.14	0.7065
2017	3.5075	2.52	0.7863
2018	3.75	2.75	0.722
